Tag,Incident,Date,Privacy(Y/N),Impact,Sentiments,Agency,Keyword
House Passes Intelligence Bill With Policy Guidelines,,2015-12-01,N,US,Neutral,US Govt.,CIA Privacy
"Paris Attacks Revive U.S. Arguments About Encryption, Surveillance",Paris Attacks,2015-11-16,Y,World,Neutral,US Govt.,CIA Privacy
Here We Go Again: Paris Attacks May Renew Encryption Debate,Paris Attacks,2015-11-16,Y,World,Neutral,Worldwide,CIA Privacy
Former German Spy Goes on Trial on Treason Charges,German Spy+CIA,2015-11-16,Y,World,Negative,CIA+Germany,CIA Privacy
Secret Source in Hillary Clinton Email Was No Secret: CIA,Hillary Email,2015-10-19,Y,US,Neutral,CIA,CIA Privacy
Journalists Subpoenaed in Lawsuit Over Petraeus Scandal,Petraeus Resignation,2015-09-22,N,US,Neutral,CIA+US Govt.,CIA Privacy
Couple in Petraeus-Related Suit to Seek Reporters' Testimony,Petraeus Resignation,2015-09-03,N,US,Neutral,CIA+US Govt.,CIA Privacy
Reporters Face Subpoenas in Case Over CIA Head's Resignation,Petraeus Resignation,2015-09-02,N,US,Negative,CIA,CIA Privacy
Report: Colombia Collecting Bulk Data Without Warrants,,2015-08-31,Y,Columbia,Negative,Columbia,CIA Privacy
German Spy Charged With Treason for Aiding CIA and Russia,German Spy+CIA,2015-08-20,Y,World,Neutral,CIA+Germany+Russia,CIA Privacy
"Homeland' Season 5 Addresses ISIS, Charlie Hebdo, Snowden",,2015-08-11,N,World,Neutral,NSA,CIA Privacy
Germany Wants Quick Clarification of New NSA Spy Allegations,,2015-07-03,Y,World,Neutral,NSA+Germany,CIA Privacy
Surveillance Powers Lapse With No Deal in Senate,,2015-05-31,Y,US,Negative,NSA,CIA Privacy
Sliver of Clinton Emails Hint at Lingering Political Trouble,Hillary Email,2015-05-23,Y,US,Negative,FBI,CIA Privacy
"Bush, Christie Rise in Defense of Patriot Act",,2015-05-22,Y,US,Neutral,US Govt.,CIA Privacy
Clinton Received Sensitive Info on Private Email Account,Hillary Email,2015-05-22,Y,US,Negative,US Govt.,CIA Privacy
5 Things to Know About the NSA Court Ruling,NSA Tracking,2015-05-08,Y,US,Neutral,NSA+US Govt.,CIA Privacy
AP Exclusive: NSA Weighed Ending Phone Program Before Leak,NSA Tracking,2015-03-30,Y,US,Neutral,NSA+US Govt.,CIA Privacy
"AP Exclusive: Before Leak, NSA Mulled Ending Phone Program",NSA Tracking,2015-03-29,Y,US,Neutral,NSA+US Govt.,CIA Privacy
Outgoing NSA Lawyer Helped Preserve Controversial Programs,NSA Tracking,2015-03-19,Y,US,Neutral,NSA+US Govt.,CIA Privacy
CIA Sought to Hack Apple iPhones From Earliest Days: The Intercept,,2015-03-10,Y,US,Negative,CIA+Apple,CIA Privacy
Rights Groups Call for Action Over Reported US-UK Phone Hack,,2015-02-20,Y,US-UK,Negative,US+UK,CIA Privacy
Surveillance Tweaks Illustrate Little Change After Snowden,,2015-02-03,Y,US,Neutral,NSA+US Govt.,CIA Privacy
Board: CIA Search of Senate Computers Reasonable,,2015-01-14,Y,US,Neutral,CIA,CIA Privacy
